airfoil_id,version_id,point_order,x,y,surface,point_source,is_augmented,original_order,augmentation_method
ag03,1,1,1,0.000662,upper,real,0,1,original_coordinate
ag03,1,2,0.994875,0.00121,upper,real,0,2,original_coordinate
ag03,1,3,0.984975,0.002247,upper,real,0,3,original_coordinate
ag03,1,4,0.973308,0.003426,upper,real,0,4,original_coordinate
ag03,1,5,0.960939,0.004647,upper,real,0,5,original_coordinate
ag03,1,6,0.94837,0.005887,upper,real,0,6,original_coordinate
ag03,1,7,0.935754,0.00714,upper,real,0,7,original_coordinate
ag03,1,8,0.923123,0.008397,upper,real,0,8,original_coordinate
ag03,1,9,0.910487,0.009656,upper,real,0,9,original_coordinate
ag03,1,10,0.897855,0.010913,upper,real,0,10,original_coordinate
ag03,1,11,0.88523,0.012166,upper,real,0,11,original_coordinate
ag03,1,12,0.872612,0.013411,upper,real,0,12,original_coordinate
ag03,1,13,0.86,0.014647,upper,real,0,13,original_coordinate
ag03,1,14,0.847391,0.015874,upper,real,0,14,original_coordinate
ag03,1,15,0.834786,0.017089,upper,real,0,15,original_coordinate
ag03,1,16,0.822181,0.018292,upper,real,0,16,original_coordinate
ag03,1,17,0.809577,0.019483,upper,real,0,17,original_coordinate
ag03,1,18,0.796974,0.02066,upper,real,0,18,original_coordinate
ag03,1,19,0.784368,0.021824,upper,real,0,19,original_coordinate
ag03,1,20,0.771761,0.022975,upper,real,0,20,original_coordinate
ag03,1,21,0.759154,0.024113,upper,real,0,21,original_coordinate
ag03,1,22,0.746543,0.025238,upper,real,0,22,original_coordinate
ag03,1,23,0.733929,0.02635,upper,real,0,23,original_coordinate
ag03,1,24,0.721314,0.027451,upper,real,0,24,original_coordinate
ag03,1,25,0.708699,0.028539,upper,real,0,25,original_coordinate
ag03,1,26,0.696083,0.029615,upper,real,0,26,original_coordinate
ag03,1,27,0.683469,0.030677,upper,real,0,27,original_coordinate
ag03,1,28,0.670857,0.031725,upper,real,0,28,original_coordinate
ag03,1,29,0.658247,0.032758,upper,real,0,29,original_coordinate
ag03,1,30,0.645638,0.033774,upper,real,0,30,original_coordinate
ag03,1,31,0.633032,0.034775,upper,real,0,31,original_coordinate
ag03,1,32,0.620429,0.035756,upper,real,0,32,original_coordinate
ag03,1,33,0.607827,0.03672,upper,real,0,33,original_coordinate
ag03,1,34,0.595228,0.037664,upper,real,0,34,original_coordinate
ag03,1,35,0.582632,0.038586,upper,real,0,35,original_coordinate
ag03,1,36,0.570039,0.039488,upper,real,0,36,original_coordinate
