SM701
# augmentation_status: augmented_from_real_uiuc_coordinates
# augmentation_method: preserve_original_points_and_insert_arc_length_linear_interpolation_points
# original_point_count: 61
# final_point_count: 120
# point labels: each coordinate is preceded by point_type; real means original file coordinate, augmented means inserted interpolation coordinate
# point_type: real; original_order: 1
1.0000000 0.0000000
# point_type: real; original_order: 2
0.9964000 0.0009500
# point_type: real; original_order: 3
0.9860500 0.0040500
# point_type: augmented; method: linear_interpolation; between_original: 3-4; t: 0.500000
0.9780200 0.0067550
# point_type: real; original_order: 4
0.9699900 0.0094600
# point_type: augmented; method: linear_interpolation; between_original: 4-5; t: 0.500000
0.9596050 0.0130750
# point_type: real; original_order: 5
0.9492200 0.0166900
# point_type: augmented; method: linear_interpolation; between_original: 5-6; t: 0.500000
0.9367650 0.0208100
# point_type: real; original_order: 6
0.9243100 0.0249300
# point_type: augmented; method: linear_interpolation; between_original: 6-7; t: 0.500000
0.9098000 0.0292050
# point_type: real; original_order: 7
0.8952900 0.0334800
# point_type: augmented; method: linear_interpolation; between_original: 7-8; t: 0.500000
0.8786800 0.0378450
# point_type: real; original_order: 8
0.8620700 0.0422100
# point_type: augmented; method: linear_interpolation; between_original: 8-9; t: 0.500000
0.8435250 0.0467300
# point_type: real; original_order: 9
0.8249800 0.0512500
# point_type: augmented; method: linear_interpolation; between_original: 9-10; t: 0.500000
0.8048200 0.0559000
# point_type: real; original_order: 10
0.7846600 0.0605500
# point_type: augmented; method: linear_interpolation; between_original: 10-11; t: 0.500000
0.7631850 0.0652250
# point_type: real; original_order: 11
0.7417100 0.0699000
# point_type: augmented; method: linear_interpolation; between_original: 11-12; t: 0.500000
0.7192350 0.0744650
# point_type: real; original_order: 12
0.6967600 0.0790300
# point_type: augmented; method: linear_interpolation; between_original: 12-13; t: 0.500000
0.6735850 0.0833150
# point_type: real; original_order: 13
0.6504100 0.0876000
# point_type: augmented; method: linear_interpolation; between_original: 13-14; t: 0.500000
0.6268200 0.0913850
# point_type: real; original_order: 14
0.6032300 0.0951700
# point_type: augmented; method: linear_interpolation; between_original: 14-15; t: 0.500000
0.5793550 0.0981850
# point_type: real; original_order: 15
0.5554800 0.1012000
# point_type: augmented; method: linear_interpolation; between_original: 15-16; t: 0.500000
0.5313100 0.1033850
# point_type: real; original_order: 16
0.5071400 0.1055700
# point_type: augmented; method: linear_interpolation; between_original: 16-17; t: 0.500000
0.4828350 0.1070500
# point_type: real; original_order: 17
0.4585300 0.1085300
# point_type: augmented; method: linear_interpolation; between_original: 17-18; t: 0.500000
0.4343600 0.1093550
# point_type: real; original_order: 18
0.4101900 0.1101800
# point_type: augmented; method: linear_interpolation; between_original: 18-19; t: 0.500000
0.3864350 0.1103650
# point_type: real; original_order: 19
